X,Y,Original_Z,Smoothed_Z
-20,95,766.6,766.648
-20,100,766.62,766.663
-20,105,766.67,766.687
-20,110,766.73,766.716
-20,115,766.76,766.744
-20,120,766.81,766.772
0,140,767.04,767
0,135,767.01,766.981
0,130,766.99,766.953
0,125,766.95,766.915
0,120,766.89,766.869
0,115,766.83,766.819
0,110,766.76,766.768
0,105,766.71,766.723
0,100,766.66,766.684
0,95,766.64,766.654
0,90,766.64,766.626
0,85,766.63,766.598
0,80,766.55,766.561
0,75,766.45,766.51
0,65,766.33,766.37
0,60,766.2,766.3
0,55,766.08,766.24
0,50,766.02,766.192
0,45,765.99,766.16
0,40,765.98,766.145
0,35,765.99,766.146
0,30,766.02,766.161
0,25,766.07,766.188
0,20,766.12,766.223
0,15,766.17,766.261
0,10,766.22,766.3
0,5,766.26,766.341
0,0,766.32,766.381
0,-5,766.38,766.42
0,-10,766.44,766.454
0,-15,766.49,766.482
0,-20,766.52,766.501
0,-25,766.53,766.51
0,-30,766.53,766.513
0,-35,766.52,766.513
0,-40,766.51,766.512
0,-45,766.51,766.515
0,-50,766.52,766.521
0,-55,766.54,766.533
0,-60,766.55,766.547
0,-65,766.57,766.563
0,-70,766.59,766.581
0,-75,766.6,766.6
0,-80,766.61,766.62
0,-85,766.64,766.642
0,-90,766.66,766.666
0,-95,766.69,766.69
0,-100,766.73,766.712
0,-105,766.75,766.731
0,-110,766.76,766.744
0,-115,766.76,766.752
0,-120,766.77,766.757
0,-125,766.76,766.76
0,-130,766.76,766.761
0,-135,766.76,766.762
0,-140,766.77,766.764
20,-120,766.71,766.718
20,-115,766.72,766.714
20,-110,766.71,766.709
20,-105,766.71,766.7
20,-100,766.7,766.686
20,-95,766.67,766.666
20,-90,766.65,766.642
20,-85,766.62,766.615
20,-80,766.58,766.587
20,-75,766.55,766.558
20,-70,766.52,766.532
20,-65,766.49,766.509
20,-60,766.47,766.489
20,-55,766.45,766.474
20,-50,766.45,766.465
20,-45,766.44,766.46
20,-40,766.44,766.461
20,-35,766.45,766.467
20,-30,766.46,766.477
20,-25,766.48,766.49
20,-20,766.51,766.504
20,-15,766.53,766.518
20,-10,766.56,766.528
20,-5,766.58,766.535
20,0,766.58,766.537
20,5,766.59,766.534
20,10,766.58,766.529
20,15,766.57,766.522
20,20,766.56,766.515
20,25,766.55,766.51
20,30,766.55,766.509
20,35,766.56,766.513
20,40,766.58,766.522
20,45,766.6,766.537
20,50,766.63,766.556
20,55,766.67,766.575
20,60,766.7,766.59
20,65,766.72,766.596
20,70,766.74,766.586
40,120,765.93,766.016
40,115,765.92,766.011
40,110,765.91,766.005
40,105,765.89,766.001
40,100,765.89,766.004
40,95,765.9,766.015
40,90,765.93,766.041
40,85,765.98,766.083
40,80,766.05,766.138
40,75,766.12,766.202
40,70,766.18,766.268
40,65,766.26,766.331
40,60,766.33,766.386
40,55,766.4,766.433
40,50,766.46,766.471
40,45,766.51,766.499
40,40,766.54,766.517
40,35,766.56,766.525
40,30,766.56,766.525
40,25,766.56,766.517
40,20,766.54,766.504
40,15,766.52,766.489
40,10,766.5,766.473
40,5,766.48,766.459
40,0,766.47,766.449
40,-5,766.47,766.442
40,-10,766.48,766.439
40,-15,766.49,766.439
40,-20,766.49,766.439
40,-25,766.49,766.44
40,-30,766.48,766.441
40,-35,766.46,766.443
40,-40,766.45,766.445
40,-45,766.45,766.451
40,-50,766.46,766.461
40,-55,766.47,766.473
40,-60,766.49,766.489
40,-65,766.51,766.506
40,-70,766.52,766.526
40,-75,766.54,766.55
40,-80,766.57,766.576
40,-85,766.6,766.605
40,-90,766.64,766.634
40,-95,766.67,766.659
40,-100,766.69,766.679
40,-105,766.7,766.691
40,-110,766.7,766.698
40,-115,766.7,766.701
40,-120,766.69,766.702
60,-120,766.73,766.728
60,-115,766.74,766.721
60,-110,766.74,766.706
60,-105,766.75,766.683
60,-100,766.74,766.65
60,-95,766.71,766.61
60,-90,766.65,766.569
60,-85,766.6,766.529
60,-80,766.55,766.494
60,-75,766.51,766.467
60,-70,766.5,766.449
60,-65,766.49,766.437
60,-60,766.49,766.427
60,-55,766.48,766.411
60,-50,766.44,766.386
60,-45,766.34,766.348
60,-40,766.22,766.298
60,-30,766.12,766.189
60,-25,766.03,766.149
60,-20,765.97,766.124
60,-15,765.97,766.115
60,-10,765.99,766.118
60,-5,766.02,766.132
60,0,766.04,766.156
60,5,766.08,766.186
60,10,766.12,766.222
60,15,766.18,766.263
60,20,766.23,766.306
60,25,766.29,766.35
60,30,766.35,766.394
60,35,766.41,766.434
60,40,766.47,766.471
60,45,766.52,766.502
60,50,766.57,766.527
60,55,766.6,766.544
60,60,766.62,766.553
60,65,766.62,766.555
60,70,766.6,766.551
60,75,766.59,766.546
60,80,766.58,766.542
60,85,766.58,766.543
60,90,766.6,766.55
60,95,766.62,766.564
60,100,766.66,766.583
60,105,766.7,766.606
60,110,766.75,766.628
60,115,766.77,766.647
60,120,766.8,766.662
80,100,766.67,766.662
80,95,766.66,766.655
80,90,766.66,766.647
80,85,766.65,766.636
80,80,766.64,766.621
80,75,766.61,766.6
80,70,766.56,766.574
80,65,766.51,766.546
80,60,766.46,766.52
80,55,766.42,766.502
80,50,766.42,766.496
80,45,766.46,766.501
80,40,766.52,766.512
80,35,766.56,766.524
80,30,766.6,766.532
80,25,766.62,766.532
80,20,766.61,766.524
80,15,766.6,766.51
80,10,766.59,766.492
80,5,766.58,766.474
80,0,766.57,766.455
80,-5,766.56,766.437
80,-10,766.54,766.418
80,-15,766.53,766.4
80,-20,766.51,766.38
80,-25,766.49,766.358
80,-30,766.46,766.33
80,-35,766.35,766.296
80,-40,766.22,766.254
80,-55,766.1,766.075
80,-60,765.98,766.026
80,-65,765.86,765.989
80,-70,765.83,765.963
80,-75,765.83,765.949
80,-80,765.83,765.946
80,-85,765.84,765.951
80,-90,765.87,765.966
80,-95,765.88,765.99
80,-100,765.9,766.029
100,-80,766.1,766.052
100,-75,766.11,766.062
100,-70,766.09,766.07
100,-65,766.06,766.08
100,-50,766.02,766.065
100,-45,765.97,766.042
100,-40,765.91,766.022
100,-35,765.87,766.006
100,-30,765.85,765.998
100,-25,765.83,765.999
100,-20,765.84,766.01
100,-15,765.86,766.03
100,-10,765.9,766.06
100,-5,765.95,766.097
100,0,766,766.14
100,5,766.06,766.188
100,10,766.12,766.24
