-140	0	766.77
-120	60	766.49
-120	55	766.33
-120	50	766.31
-120	45	766.3
-120	40	766.25
-120	35	766.17
-120	30	766.1
-120	25	766.02
-120	20	765.96
-120	15	765.96
-120	10	766.02
-120	5	766.09
-120	0	766.69
-120	-5	766.3
-120	-10	766.39
-120	-15	766.47
-120	-20	766.54
-120	-25	766.6
-120	-30	766.63
-120	-35	766.65
-120	-40	766.65
-120	-45	766.63
-120	-50	766.61
-120	-55	766.59
-120	-60	766.58
-100	-80	766.57
-100	-75	766.55
-100	-70	766.46
-100	-65	766.34
-100	-50	766.23
-100	-45	766.12
-100	-40	766.01
-100	-35	765.96
-100	-30	765.94
-100	-25	765.91
-100	-20	765.91
-100	-15	765.92
-100	-10	765.94
-100	-5	765.97
-100	0	766
-100	5	766.08
-100	10	766.14
-100	15	766.22
-100	20	766.31
-100	25	766.4
-100	30	766.49
-100	35	766.57
-100	40	766.64
-100	45	766.69
-100	50	766.71
-100	55	766.73
-100	60	766.74
-100	65	766.74
-100	70	766.75
-100	75	766.76
-100	80	766.77
-80	100	766.81
-80	95	766.79
-80	90	766.78
-80	85	766.76
-80	80	766.74
-80	75	766.71
-80	70	766.69
-80	65	766.68
-80	60	766.66
-80	55	766.64
-80	50	766.64
-80	45	766.64
-80	40	766.65
-80	35	766.66
-80	30	766.66
-80	25	766.66
-80	20	766.65
-80	15	766.63
-80	10	766.6
-80	5	766.57
-80	0	766.57
-80	-5	766.52
-80	-10	766.52
-80	-15	766.52
-80	-20	766.53
-80	-25	766.53
-80	-30	766.52
-80	-35	766.38
-80	-40	766.24
-80	-55	766.11
-80	-60	765.97
-80	-65	765.83
-80	-70	765.81
-80	-75	765.8
-80	-80	765.81
-80	-85	765.83
-80	-90	765.86
-80	-95	765.88
-80	-100	765.9
-60	-120	766.06
-60	-115	766.1
-60	-110	766.14
-60	-105	766.21
-60	-100	766.29
-60	-95	766.35
-60	-90	766.4
-60	-85	766.43
-60	-80	766.45
-60	-75	766.46
-60	-70	766.48
-60	-65	766.5
-60	-60	766.5
-60	-55	766.51
-60	-50	766.47
-60	-45	766.37
-60	-40	766.25
-60	-30	766.14
-60	-25	766.04
-60	-20	765.97
-60	-15	765.96
-60	-10	765.98
-60	-5	766
-60	0	766.04
-60	5	766.05
-60	10	766.09
-60	15	766.13
-60	20	766.17
-60	25	766.23
-60	30	766.3
-60	35	766.38
-60	40	766.46
-60	45	766.53
-60	50	766.6
